================================================================================
  P50-CriticalImportScan v2.0.0
  Audit Standard : ISO/IEC 25010 | SOC 2 Type II | ISAE 3402
  Scan ID        : C806E108
  Timestamp (UTC): 2026-06-29T04:38:04.364465Z
  Host           : DESKTOP-6EKENHE
  Python         : 3.11.9
  Platform       : Windows-10-10.0.26200-SP0
  Git Commit     : fc6b401 (master)
  Project Root   : E:\full_erp_accounting_engine
================================================================================

── RINGKASAN ──────────────────────────────────────────────────────────────────
  Total Modul    : 1069
  Berhasil       : 1069
  Gagal          : 0
  Warning        : 0
  Durasi         : 38.34 detik
  Pass Rate      : 100.0%
  Status         : ✅ LULUS
  Exit Code      : 0

── RINGKASAN PER LAYER ─────────────────────────────────────────────────────────
  ✅ Core Domain                     311/311 (100.0%)
  ✅ Port Interface                  57/57 (100.0%)
  ✅ Application Service             252/252 (100.0%)
  ✅ Infrastructure                  425/425 (100.0%)
  ✅ Composition Root                24/24 (100.0%)

── DETAIL SEMUA MODUL ──────────────────────────────────────────────────────────
    No  Status    Layer                   Label                                              ms
  ────  ────────  ──────────────────────  ─────────────────────────────────────────────  ──────
     1  ✅ OK      Core Domain             domain/bank_cash/bank_account_entity             53.6
     2  ✅ OK      Core Domain             domain/bank_cash/bank_aggregate_root              1.0
     3  ✅ OK      Core Domain             domain/bank_cash/bank_reconciliation_engine       0.7
     4  ✅ OK      Core Domain             domain/bank_cash/bank_transaction_entity          1.1
     5  ✅ OK      Core Domain             domain/bank_cash/bank_transfer_entity             1.0
     6  ✅ OK      Core Domain             domain/bank_cash/cash_aggregate_root              1.0
     7  ✅ OK      Core Domain             domain/bank_cash/cash_book_entity                 1.0
     8  ✅ OK      Core Domain             domain/bank_cash/cash_disbursement_entity         0.8
     9  ✅ OK      Core Domain             domain/bank_cash/cash_receipt_entity              0.8
    10  ✅ OK      Core Domain             domain/bank_cash/domain_events                    0.5
    11  ✅ OK      Core Domain             domain/bank_cash/invariants                       1.2
    12  ✅ OK      Core Domain             domain/bank_cash/petty_cash_fund_entity           0.8
    13  ✅ OK      Core Domain             domain/budget/aggregate_root                     13.9
    14  ✅ OK      Core Domain             domain/budget/domain_events                       0.7
    15  ✅ OK      Core Domain             domain/budget/variance_calculator                 0.8
    16  ✅ OK      Core Domain             domain/causality/audit_story_builder            104.3
    17  ✅ OK      Core Domain             domain/causality/causal_chain_builder             0.3
    18  ✅ OK      Core Domain             domain/causality/causal_node                      0.3
    19  ✅ OK      Core Domain             domain/causality/causality_exceptions             0.4
    20  ✅ OK      Core Domain             domain/causality/causality_tracker                0.5
    21  ✅ OK      Core Domain             domain/causality/explanation_generator            0.3
    22  ✅ OK      Core Domain             domain/causality/why_query_engine                 0.3
    23  ✅ OK      Core Domain             domain/coa/account_code_vo                       53.1
    24  ✅ OK      Core Domain             domain/coa/account_entity                         0.5
    25  ✅ OK      Core Domain             domain/coa/account_hierarchy_tree                 0.5
    26  ✅ OK      Core Domain             domain/coa/account_normal_balance_vo              0.7
    27  ✅ OK      Core Domain             domain/coa/account_type_enum                      0.5
    28  ✅ OK      Core Domain             domain/coa/aggregate_root                         0.5
    29  ✅ OK      Core Domain             domain/coa/domain_events                          0.4
    30  ✅ OK      Core Domain             domain/coa/invariants                             1.6
    31  ✅ OK      Core Domain             domain/coa/invariants_validator                   0.5
    32  ✅ OK      Core Domain             domain/coa/optimistic_lock                        0.3
    33  ✅ OK      Core Domain             domain/coa/state_machine                          0.3
    34  ✅ OK      Core Domain             domain/consolidation/aggregate_root              23.3
    35  ✅ OK      Core Domain             domain/consolidation/domain_events                0.7
    36  ✅ OK      Core Domain             domain/consolidation/elimination_entry            0.4
    37  ✅ OK      Core Domain             domain/consolidation/foreign_currency_translator     0.4
    38  ✅ OK      Core Domain             domain/consolidation/intercompany_transaction     0.5
    39  ✅ OK      Core Domain             domain/consolidation/non_controlling_interest     0.5
    40  ✅ OK      Core Domain             domain/customer_supplier_employee/customer_aggregate_root    31.1
    41  ✅ OK      Core Domain             domain/customer_supplier_employee/customer_credit_limit_vo     0.5
    42  ✅ OK      Core Domain             domain/customer_supplier_employee/customer_entity     0.4
    43  ✅ OK      Core Domain             domain/customer_supplier_employee/customer_tax_status_vo     0.5
    44  ✅ OK      Core Domain             domain/customer_supplier_employee/domain_events     0.6
    45  ✅ OK      Core Domain             domain/customer_supplier_employee/employee_aggregate_root     0.5
    46  ✅ OK      Core Domain             domain/customer_supplier_employee/employee_bpjs_enrollment_vo     0.6
    47  ✅ OK      Core Domain             domain/customer_supplier_employee/employee_entity     0.3
    48  ✅ OK      Core Domain             domain/customer_supplier_employee/employee_ptkp_status_vo     0.3
    49  ✅ OK      Core Domain             domain/customer_supplier_employee/invariants      0.4
    50  ✅ OK      Core Domain             domain/customer_supplier_employee/supplier_aggregate_root     0.7
    51  ✅ OK      Core Domain             domain/customer_supplier_employee/supplier_entity     0.4
    52  ✅ OK      Core Domain             domain/customer_supplier_employee/supplier_withholding_category_vo     0.4
    53  ✅ OK      Core Domain             domain/equity_retained/aggregate_root            21.6
    54  ✅ OK      Core Domain             domain/equity_retained/capital_contribution_entity     0.3
    55  ✅ OK      Core Domain             domain/equity_retained/capital_withdrawal_entity     0.3
    56  ✅ OK      Core Domain             domain/equity_retained/dividend_declaration_entity     0.3
    57  ✅ OK      Core Domain             domain/equity_retained/domain_events              0.3
    58  ✅ OK      Core Domain             domain/equity_retained/invariants                 0.2
    59  ✅ OK      Core Domain             domain/equity_retained/retained_earnings_entity     0.2
    60  ✅ OK      Core Domain             domain/event_base                                 1.6
    61  ✅ OK      Core Domain             domain/financial_statement/balance_sheet_snapshot     8.9
    62  ✅ OK      Core Domain             domain/financial_statement/income_statement_period     0.5
    63  ✅ OK      Core Domain             domain/financial_statement/trial_balance_cube     0.4
    64  ✅ OK      Core Domain             domain/fiscal_period/aggregate_root               8.9
    65  ✅ OK      Core Domain             domain/fiscal_period/domain_events                0.6
    66  ✅ OK      Core Domain             domain/fiscal_period/invariants                   0.5
    67  ✅ OK      Core Domain             domain/fixed_asset/aggregate_root                27.1
    68  ✅ OK      Core Domain             domain/fixed_asset/asset_entity                   0.6
    69  ✅ OK      Core Domain             domain/fixed_asset/asset_group_entity             0.3
    70  ✅ OK      Core Domain             domain/fixed_asset/depreciation_schedule_engine     0.3
    71  ✅ OK      Core Domain             domain/fixed_asset/disposal_entity                0.4
    72  ✅ OK      Core Domain             domain/fixed_asset/domain_events                  0.4
    73  ✅ OK      Core Domain             domain/fixed_asset/invariants                     0.3
    74  ✅ OK      Core Domain             domain/fixed_asset/revaluation_entity             0.4
    75  ✅ OK      Core Domain             domain/fixed_asset/transfer_entity                0.4
    76  ✅ OK      Core Domain             domain/forex/aggregate_root                      11.6
    77  ✅ OK      Core Domain             domain/forex/domain_events                        0.5
    78  ✅ OK      Core Domain             domain/forex/exchange_rate_vo                     0.5
    79  ✅ OK      Core Domain             domain/forex/forex_transaction_entity             0.4
    80  ✅ OK      Core Domain             domain/goodwill/aggregate_root                   13.3
    81  ✅ OK      Core Domain             domain/goodwill/domain_events                     0.7
    82  ✅ OK      Core Domain             domain/hedge/aggregate_root                      20.6
    83  ✅ OK      Core Domain             domain/hedge/domain_events                        0.6
    84  ✅ OK      Core Domain             domain/hedge/hedge_instrument                     0.5
    85  ✅ OK      Core Domain             domain/hedge/hedged_item                          0.5
    86  ✅ OK      Core Domain             domain/iam/aggregate_root                        51.8
    87  ✅ OK      Core Domain             domain/iam/domain_events                          0.5
    88  ✅ OK      Core Domain             domain/iam/invariants                             0.5
    89  ✅ OK      Core Domain             domain/iam/login_attempt_log                      0.8
    90  ✅ OK      Core Domain             domain/iam/password_hashed_vo                     0.7
    91  ✅ OK      Core Domain             domain/iam/permission_vo                          0.6
    92  ✅ OK      Core Domain             domain/iam/role_entity                            0.7
    93  ✅ OK      Core Domain             domain/iam/session_entity                         0.5
    94  ✅ OK      Core Domain             domain/iam/user_entity                            0.4
    95  ✅ OK      Core Domain             domain/intangible_asset/aggregate_root           12.7
    96  ✅ OK      Core Domain             domain/intangible_asset/amortization_method_enum     0.8
    97  ✅ OK      Core Domain             domain/intangible_asset/amortization_schedule_engine     0.8
    98  ✅ OK      Core Domain             domain/intangible_asset/asset_entity              0.5
    99  ✅ OK      Core Domain             domain/intangible_asset/domain_events             0.6
   100  ✅ OK      Core Domain             domain/intangible_asset/invariants                2.8
   101  ✅ OK      Core Domain             domain/intent/approval_workflow                   0.6
   102  ✅ OK      Core Domain             domain/intent/audit_trail_writer                  0.7
   103  ✅ OK      Core Domain             domain/intent/capture_service                     0.6
   104  ✅ OK      Core Domain             domain/intent/context_enricher                    0.7
   105  ✅ OK      Core Domain             domain/intent/cryptographic_signer                0.5
   106  ✅ OK      Core Domain             domain/intent/forensic_query_engine               0.5
   107  ✅ OK      Core Domain             domain/intent/immutable_record                    0.3
   108  ✅ OK      Core Domain             domain/intent/intent_exceptions                   0.4
   109  ✅ OK      Core Domain             domain/intent/intent_type                         0.2
   110  ✅ OK      Core Domain             domain/intent/materiality_evaluator               0.2
   111  ✅ OK      Core Domain             domain/intent/outcome_link_tracker                0.2
   112  ✅ OK      Core Domain             domain/intent/revision_logger                     0.2
